symbol,trade,date
AE38,84420.0,2025-06-07
AE38C,70.58,2025-06-07
AE38D,71.0,2025-06-07
AE38X,86190.849,2025-06-07
AE38Y,0.0,2025-06-07
AE38Z,0.0,2025-06-07
AL29,87850.0,2025-06-07
AL29C,73.7,2025-06-07
AL29D,73.61,2025-06-07
AL29X,0.0,2025-06-07
AL29Y,0.0,2025-06-07
AL29Z,0.0,2025-06-07
AL30,80630.0,2025-06-07
AL30C,67.3,2025-06-07
AL30D,67.62,2025-06-07
AL30X,80200.0,2025-06-07
AL30Y,67.519,2025-06-07
AL30Z,67.25,2025-06-07
AL35,80700.0,2025-06-07
AL35C,67.5,2025-06-07
AL35D,67.86,2025-06-07
AL35X,0.0,2025-06-07
AL35Y,0.0,2025-06-07
AL35Z,0.0,2025-06-07
AL41,74350.0,2025-06-07
AL41C,62.18,2025-06-07
AL41D,62.49,2025-06-07
AL41X,0.0,2025-06-07
AL41Y,0.0,2025-06-07
AL41Z,0.0,2025-06-07
BA25X,0.0,2025-06-07
BA37D,82400.0,2025-06-07
BA37E,0.0,2025-06-07
BA7DC,68.72,2025-06-07
BA7DD,69.28,2025-06-07
BA7DX,83437.03,2025-06-07
BA7DY,0.0,2025-06-07
BA7DZ,0.0,2025-06-07
BAD25,0.0,2025-06-07
BAD5X,0.0,2025-06-07
BAO25,0.0,2025-06-07
BAS26,0.0,2025-06-07
BB37D,75490.0,2025-06-07
BB37E,0.0,2025-06-07
BB7DC,0.0,2025-06-07
BB7DD,63.93,2025-06-07
BB7DX,0.0,2025-06-07
BB7DY,0.0,2025-06-07
BB7DZ,0.0,2025-06-07
BC28C,0.0,2025-06-07
BC28D,0.0,2025-06-07
BC28X,0.0,2025-06-07
BC28Y,0.0,2025-06-07
BC28Z,0.0,2025-06-07
BC37D,72060.0,2025-06-07
BC37E,0.0,2025-06-07
BC7DC,0.0,2025-06-07
BC7DD,0.0,2025-06-07
BDC28,109.65,2025-06-07
BPA7C,99.5,2025-06-07
BPA7D,100.2,2025-06-07
BPA7X,0.0,2025-06-07
BPA7Y,0.0,2025-06-07
BPA7Z,0.0,2025-06-07
BPB7C,96.91,2025-06-07
BPB7D,97.18,2025-06-07
BPB7X,115607.0,2025-06-07
BPB7Y,0.0,2025-06-07
BPB7Z,96.5,2025-06-07
BPC7C,95.2,2025-06-07
BPC7D,95.7,2025-06-07
BPC7X,113990.415,2025-06-07
BPC7Y,0.0,2025-06-07
